CarModel,Year,Engine,Fuel,Price,Milage
BMW Seria 3 320,2016,1 995 cm3,Diesel,20 499                    EUR,157 000 km
BMW Seria 5,2014,2 995 cm3,Diesel,18 700                    EUR,179 000 km
BMW Seria 3 318,2008,1 995 cm3,Diesel,6 590                    EUR,253 688 km
BMW Seria 3 320,2008,1 995 cm3,Diesel,7 400                    EUR,180 000 km
BMW Seria 6 640,2012,2 993 cm3,Diesel,35 500                    EUR,69 800 km
BMW Seria 3 320,2010,1 995 cm3,Diesel,7 390                    EUR,196 000 km
BMW Seria 6 640,2015,2 993 cm3,Diesel,36 900                    EUR,171 000 km
BMW Seria 5 525,2012,1 995 cm3,Diesel,18 400                    EUR,90 000 km
BMW Seria 5 550,2013,2 993 cm3,Diesel,24 900                    EUR,170 000 km
BMW Seria 3 320,2011,1 995 cm3,Diesel,10 900                    EUR,200 000 km
BMW Seria 1 120,2012,1 995 cm3,Diesel,8 490                    EUR,270 000 km
BMW Seria 5 520,2015,1 959 cm3,Diesel,29 500                    EUR,61 000 km
BMW Seria 7 730,2016,2 998 cm3,Diesel,43 500                    EUR,131 000 km
BMW Seria 5 530,2014,2 995 cm3,Diesel,24 500                    EUR,171 955 km
BMW Seria 5 530GT,2012,2 994 cm3,Diesel,19 000                    EUR,168 000 km
BMW Seria 6 640,2012,2 979 cm3,Benzina,32 500                    EUR,87 000 km
BMW Seria 5 530,2014,2 993 cm3,Diesel,21 099                    EUR,178 646 km
BMW Seria 5 530,2014,2 993 cm3,Diesel,23 700                    EUR,155 408 km
BMW Seria 5,2008,1 995 cm3,Diesel,5 999                    EUR,230 000 km
BMW Seria 3 320,2013,1 995 cm3,Diesel,13 700                    EUR,138 000 km
BMW Seria 3,2006,2 000 cm3,Benzina,4 499                    EUR,180 000 km
BMW Seria 3,2005,2 000 cm3,Diesel,4 999                    EUR,250 000 km
BMW Seria 1,2005,1 600 cm3,Benzina,4 599                    EUR,130 000 km
BMW Seria 3,2003,2 000 cm3,Diesel,2 999                    EUR,280 000 km
BMW Seria 4 420,2016,1 996 cm3,Diesel,20 700                    EUR,145 000 km
BMW Seria 3 320,2012,1 996 cm3,Diesel,10 180                    EUR,164 000 km
BMW Seria 4,2018,1 998 cm3,Diesel,37 000                    EUR,19 km
BMW Seria 7 730,2018,2 993 cm3,Diesel,57 990                    EUR,19 966 km
BMW Seria 3 320,2016,1 998 cm3,Diesel,16 490                    EUR,189 000 km
BMW Seria 7 730,2013,2 993 cm3,Diesel,23 800                    EUR,199 000 km
BMW Seria 3 320,2005,1 995 cm3,Diesel,5 990                    EUR,167 461 km
BMW Seria 3 320,2007,1 995 cm3,Diesel,5 650                    EUR,225 000 km
BMW Seria 3 320,2008,1 995 cm3,Diesel,4 990                    EUR,257 000 km
BMW Seria 5 535,2012,2 998 cm3,Diesel,18 000                    EUR,229 000 km
BMW Seria 7 750,2017,4 400 cm3,Benzina,81 900                    EUR,13 000 km
BMW Seria 3 320,2016,1 995 cm3,Diesel,14 800                    EUR,175 000 km
BMW Seria 7 730,2016,2 993 cm3,Diesel,49 500                    EUR,115 125 km
BMW Seria 6 640,2014,2 993 cm3,Diesel,35 688                    EUR,155 496 km
BMW Seria 3,2014,1 995 cm3,Diesel,18 802                    EUR,87 272 km
BMW Seria 3 320,2006,1 986 cm3,Diesel,6 900                    EUR,171 350 km
